"Disease","4Jan - 17Jan 2021","18Jan - 31Jan 2021","1Feb - 14Feb 2021","15Feb - 28Feb 2021","1Mar - 14Mar 2021","15Mar - 28Mar 2021","29Mar - 11Apr 2021","12Apr - 25Apr 2021","26Apr - 9May 2021","10May - 23May 2021","24May - 6Jun 2021","7Jun - 20Jun 2021","21Jun - 4Jul 2021","5Jul - 18Jul 2021","19Jul - 1Aug 2021","2Aug - 15Aug 2021","16Aug - 29Aug 2021","30Aug - 12Sep 2021","13Sep - 26Sep 2021","27Sep - 10Oct 2021","11Oct - 24Oct 2021","25Oct - 7Dec 2021","8Nov - 21Nov 2021","22Nov - 5Dec 2021","6Dec - 19Dec 2021","20Dec 2021 - 2Jan 2022"
"Influenza (laboratory confirmed)",37,29,30,19,40,19,29,37,23,47,38,99,28,31,27,27,22,28,27,20,28,19,37,29,43,30
"COVID-19**",231,107,100,84,156,84,155,298,249,97,191,166,464,1240,2467,4989,13302,22776,23986,30733,30798,21344,18060,19335,32930,178755
